total_packets,avg_packet_size,packet_rate,flow_duration,protocol,flow_id
1,66.0,1000.0,0.001,TCP,192.168.0.106 -> 4.225.11.192 | TCP
1,66.0,1000.0,0.001,TCP,4.225.11.192 -> 192.168.0.106 | TCP
1,60.0,1000.0,0.001,OTHER,192.168.0.100 -> 239.255.255.251 | OTHER
1,60.0,1000.0,0.001,OTHER,192.168.0.100 -> 239.255.255.250 | OTHER
51,1301.4117647058824,20.63931604403476,2.4710121154785156,TCP,192.168.0.106 -> 20.42.65.89 | TCP
1,90.0,1000.0,0.001,TCP,192.168.0.106 -> 140.82.112.22 | TCP
25,75.28,11.206889733694009,2.2307705879211426,TCP,20.42.65.89 -> 192.168.0.106 | TCP
1,90.0,1000.0,0.001,TCP,192.168.0.106 -> 52.168.112.67 | TCP
74,1268.4594594594594,9.967364446574646,7.424229383468628,TCP,192.168.0.106 -> 20.42.65.89 | TCP
31,77.19354838709677,4.216527958699999,7.352020502090454,TCP,20.42.65.89 -> 192.168.0.106 | TCP
