timestamp,ip_src,ip_dest,src_port,dest_port,protocol,payload_len,app_protocol,is_ascii,suspicious_keywords,has_suspicious_keywords,error
2025-07-05T16:00:35.644621,1.1.1.1,192.168.0.106,53,53445,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:35.652838,192.168.0.106,1.1.1.1,35777,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:35.664964,1.1.1.1,192.168.0.106,53,35777,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:35.673154,192.168.0.106,1.1.1.1,52803,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:35.693170,1.1.1.1,192.168.0.106,53,52803,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:35.701529,192.168.0.106,1.1.1.1,34281,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:35.711341,1.1.1.1,192.168.0.106,53,34281,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:35.719103,192.168.0.106,1.1.1.1,47277,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:35.727413,1.1.1.1,192.168.0.106,53,47277,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:35.735494,192.168.0.106,1.1.1.1,35531,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:35.864789,1.1.1.1,192.168.0.106,53,35531,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:35.871727,192.168.0.106,1.1.1.1,40018,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:35.879735,1.1.1.1,192.168.0.106,53,40018,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:35.886816,192.168.0.106,1.1.1.1,34551,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:35.898565,1.1.1.1,192.168.0.106,53,34551,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:35.906131,192.168.0.106,1.1.1.1,52486,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:35.926989,1.1.1.1,192.168.0.106,53,52486,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:35.936156,192.168.0.106,1.1.1.1,39542,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:35.946250,1.1.1.1,192.168.0.106,53,39542,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:35.954015,192.168.0.106,1.1.1.1,55154,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:35.964864,1.1.1.1,192.168.0.106,53,55154,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:35.974572,192.168.0.106,1.1.1.1,38727,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:35.986309,1.1.1.1,192.168.0.106,53,38727,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:35.997530,192.168.0.106,1.1.1.1,51064,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:36.010829,1.1.1.1,192.168.0.106,53,51064,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:36.023334,192.168.0.106,1.1.1.1,52737,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:36.033562,1.1.1.1,192.168.0.106,53,52737,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:36.041365,192.168.0.106,1.1.1.1,50200,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:36.207876,1.1.1.1,192.168.0.106,53,50200,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:36.214102,192.168.0.106,1.1.1.1,34722,53,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:36.221011,1.1.1.1,192.168.0.106,53,34722,UDP,0,DNS,0,none,0,None
2025-07-05T16:00:36.230979,192.168.0.106,1.1.1.1,41767,53,UDP,0,DNS,0,none,0,None
